Time (s),Count
4.94096781,0
4.94104452,0
4.94112123,0
4.94119794,0
4.94127465,0
4.94135136,0
4.94142807,0
4.94150478,0
4.94158149,0
4.9416582,0
4.94173491,1.1762446
4.94181162,2.0173779
4.94188833,0
4.94196504,0
4.94204175,0
4.94211846,0
4.94219517,1.8320124
4.94227188,0
4.94234859,0
4.9424253,0
4.94250201,2.444461
4.94257872,0
4.94265543,2.7440493
4.94273214,0
4.94280885,0
4.94288556,0
4.94296227,0
4.94303898,0.5419015
4.94311569,0
4.9431924,0
4.94326911,0
4.94334582,1.3062433
4.94342253,0.9393745
4.94349924,0
4.94357595,0
4.94365266,1.8548167
4.94372937,0
4.94380608,1.1757246
4.94388279,0
4.9439595,0
4.94403621,2.2385266
4.94411292,0
4.94418963,0
4.94426634,0
4.94434305,0
4.94441976,1.8680598
4.94449647,0
4.94457318,0
4.94464989,0
4.9447266,0
4.94480331,0
4.94488002,0
4.94495673,2.000151
4.94503344,0
4.94511015,0
4.94518686,0
4.94526357,0
4.94534028,0
4.94541699,1.0499153
4.9454937,0
4.94557041,0
4.94564712,0
4.94572383,0
4.94580054,0
4.94587725,0.689429
4.94595396,0
4.94603067,0
4.94610738,0
4.94618409,1.0887765
4.9462608,0
4.94633751,0
4.94641422,4.696625
4.94649093,0
4.94656764,0
4.94664435,0
4.94672106,0
4.94679777,0
4.94687448,5.1027575
4.94695119,0
4.9470279,0
4.94710461,1.0089909
4.94718132,0
4.94725803,0
4.94733474,5.222461
4.94741145,26.176538
4.94748816,65.44001
4.94756487,79.03818
4.94764158,70.90161
4.94771829,55.84952
4.947795,25.651562
4.94787171,22.79191
4.94794842,10.706253
4.94802513,4.137933
4.94810184,1.2582067
4.94817855,1.4336126
4.94825526,0
4.94833197,1.3236673
4.94840868,0
4.94848539,0
4.9485621,1.4648584
4.94863881,0
4.94871552,0
4.94879223,2.1553023
4.94886894,0
4.94894565,0
4.94902236,0
4.94909907,0.4401503
4.94917578,0
4.94925249,0
4.9493292,2.9304297
4.94940591,3.2669458
4.94948262,0
4.94955933,4.7748756
4.94963604,4.1321793
4.94971275,0
4.94978946,4.767361
4.94986617,0.95969623
4.94994288,0
4.95001959,0
4.9500963,0
4.95017301,0
4.95024972,1.4800725
4.95032643,0
4.95040314,0
4.95047985,0
4.95055656,0
4.95063327,0
4.95070998,0
4.95078669,0
4.9508634,0
4.95094011,0
4.95101682,0
4.95109353,0
4.95117024,0
4.95124695,0
4.95132366,1.5018075
4.95140037,0
4.95147708,0
4.95155379,1.1563003
4.9516305,0
4.95170721,0
4.95178392,0
4.95186063,0
4.95193734,0.8742997
4.95201405,0
4.95209076,0
4.95216747,0
4.95224418,0
4.95232089,0
4.9523976,0
4.95247431,0
4.95255102,0
4.95262773,0.9956597
4.95270444,0
4.95278115,0
4.95285786,0
4.95293457,0
4.95301128,0
4.95308799,0
4.9531647,0
4.95324141,0
4.95331812,0
4.95339483,0
4.95347154,0.46992838
4.95354825,0
4.95362496,0
4.95370167,0
4.95377838,1.4432912
4.95385509,1.8348011
4.9539318,1.6105156
4.95400851,0
4.95408522,0
4.95416193,2.0550566
4.95423864,0
4.95431535,0
4.95439206,0
4.95446877,0
4.95454548,0
4.95462219,0
4.9546989,0
4.95477561,0
4.95485232,0.9278717
4.95492903,0
4.95500574,0
4.95508245,0
4.95515916,0
4.95523587,0
4.95531258,0
4.95538929,0
4.955466,0
4.95554271,0
4.95561942,0
4.95569613,0
4.95577284,0
4.95584955,0
4.95592626,1.25377
4.95600297,0
4.95607968,0
4.95615639,0
4.9562331,0
4.95630981,0
4.95638652,0.23324275
4.95646323,0
4.95653994,0
4.95661665,0
4.95669336,0
4.95677007,0
4.95684678,0
4.95692349,0
4.9570002,0
4.95707691,0
4.95715362,0
4.95723033,0
4.95730704,0
4.95738375,0
4.95746046,2.8954475
4.95753717,0
4.95761388,1.3131206
4.95769059,0
4.9577673,0
4.95784401,0
4.95792072,0
4.95799743,0
4.95807414,0.89382046
4.95815085,0
4.95822756,1.0645465
4.95830427,0
4.95838098,0
4.95845769,0
4.9585344,0
4.95861111,1.5800372
4.95868782,1.3326288
4.95876453,0
4.95884124,0
4.95891795,0
4.95899466,2.5046966
4.95907137,2.4292471
4.95914808,0
4.95922479,0
4.9593015,0
4.95937821,1.9225041
4.95945492,0
4.95953163,0
4.95960834,1.7057794
4.95968505,0
4.95976176,0
4.95983847,3.3075686
4.95991518,0
4.95999189,0.58507365
4.9600686,0
4.96014531,0
4.96022202,0
4.96029873,0
4.96037544,0
4.96045215,0
4.96052886,0
4.96060557,0.67428625
4.96068228,0.835363
4.96075899,0
4.9608357,0
4.96091241,0
4.96098912,0
4.96106583,0
4.96114254,0
4.96121925,0
4.96129596,0.5642403
4.96137267,0
4.96144938,0
4.96152609,0
4.9616028,0
4.96167951,0
4.96175622,0
4.96183293,1.156988
4.96190964,0
4.96198635,0
4.96206306,0.56018096
4.96213977,0
4.96221648,0
4.96229319,0
4.9623699,0
4.96244661,0
4.96252332,0
4.96260003,2.3771136
4.96267674,0
4.96275345,0
4.96283016,0
4.96290687,0
4.96298358,0
4.96306029,0
4.963137,0
4.96321371,0
4.96329042,0
4.96336713,0
4.96344384,0
4.96352055,0
4.96359726,0
4.96367397,1.3219606
4.96375068,0
4.96382739,0
4.9639041,1.2280722
4.96398081,0
4.96405752,0
4.96413423,3.0767915
4.96421094,1.1516539
4.96428765,0
4.96436436,0
4.96444107,0
4.96451778,0
4.96459449,0
4.9646712,0
4.96474791,2.3838148
4.96482462,0
4.96490133,0
4.96497804,0
4.96505475,0
4.96513146,0
4.96520817,2.3373926
4.96528488,2.5263855
4.96536159,0
4.9654383,0
4.96551501,0
4.96559172,0.7673695
4.96566843,0
4.96574514,0
4.96582185,0
4.96589856,0
4.96597527,0
4.96605198,0
4.96612869,0
4.9662054,0
4.96628211,0
4.96635882,0
4.96643553,0
4.96651224,0
4.96658895,0
4.96666566,0
4.96674237,0
4.96681908,0
4.96689579,1.1162481
4.9669725,0
4.96704921,0
4.96712592,2.4008362
4.96720263,0
4.96727934,0
4.96735605,0.5140482
4.96743276,0
4.96750947,2.2995336
4.96758618,5.0864115
4.96766289,0
4.9677396,0
4.96781631,0
4.96789302,0
4.96796973,0
4.96804644,0
4.96812315,0.5604829
4.96819986,0
4.96827657,0
4.96835328,0
4.96842999,0
4.9685067,0
4.96858341,0
4.96866012,0
4.96873683,0
4.96881354,0
4.96889025,0
4.96896696,0
4.96904367,2.4871008
4.96912038,0
4.96919709,0
4.9692738,0
4.96935051,0
4.96942722,0
4.96950393,0
4.96958064,0
4.96965735,0
4.96973406,0
4.96981077,0.61697364
4.96988748,0
4.96996419,0
4.9700409,0
4.97011761,2.485742
4.97019432,2.0614517
4.97027103,2.179566
4.97034774,3.6779387
4.97042445,0
4.97050116,0
4.97057787,0
4.97065458,0
4.97073129,0
4.970808,0
4.97088471,0
4.97096142,0
4.97103813,0
4.97111484,0
4.97119155,1.4032726
4.97126826,0
4.97134497,0.80034304
4.97142168,2.0808256
4.97149839,1.0029942
4.9715751,0
4.97165181,0
4.97172852,0
4.97180523,0
4.97188194,0
4.97195865,1.2618928
4.97203536,0
4.97211207,0
4.97218878,0
4.97226549,0
4.9723422,1.5731138
4.97241891,0
4.97249562,0
4.97257233,0
4.97264904,0
4.97272575,0
4.97280246,0
4.97287917,0
4.97295588,0
4.97303259,0
4.9731093,1.1849504
4.97318601,0
4.97326272,0
4.97333943,0
4.97341614,0
4.97349285,0
4.97356956,0
4.97364627,0
4.97372298,0
4.97379969,0
4.9738764,0
4.97395311,0
4.97402982,0
4.97410653,0
4.97418324,0
4.97425995,0
4.97433666,0
4.97441337,0.26554114
4.97449008,0
4.97456679,0
4.9746435,0
4.97472021,0.9728303
4.97479692,1.0946977
4.97487363,0
4.97495034,0
4.97502705,0
4.97510376,3.27943
4.97518047,0
4.97525718,0
4.97533389,0
4.9754106,0
4.97548731,0
4.97556402,2.1292439
4.97564073,1.0498985
4.97571744,0
4.97579415,0
4.97587086,0
4.97594757,0
4.97602428,0
4.97610099,0
4.9761777,0
4.97625441,0
4.97633112,0
4.97640783,0
4.97648454,0
4.97656125,0
4.97663796,0
4.97671467,0
4.97679138,0
4.97686809,0.7717224
4.9769448,0
4.97702151,0
4.97709822,0
4.97717493,0
4.97725164,0.89213467
4.97732835,1.7608863
4.97740506,0
4.97748177,0
4.97755848,0
4.97763519,0
4.9777119,0
4.97778861,0
4.97786532,0.89298177
4.97794203,2.0887136
4.97801874,0
4.97809545,7.50468
4.97817216,7.6730742
4.97824887,11.848535
4.97832558,2.7660527
4.97840229,14.64863
4.978479,6.725086
4.97855571,1.1846862
4.97863242,2.3697665
4.97870913,3.4895499
4.97878584,0
4.97886255,1.5572581
4.97893926,0
4.97901597,1.3158967
4.97909268,0
4.97916939,0
4.9792461,1.8141816
4.97932281,0
4.97939952,0
4.97947623,0.90185523
4.97955294,0
4.97962965,0
4.97970636,0
4.97978307,0
4.97985978,0
4.97993649,0
4.9800132,0
4.98008991,0
4.98016662,4.8578653
4.98024333,6.2211823
4.98032004,0
4.98039675,6.089892
4.98047346,1.8409487
4.98055017,0
4.98062688,0
4.98070359,0
4.9807803,2.5694108
4.98085701,0
4.98093372,0
4.98101043,0
4.98108714,0
4.98116385,0
4.98124056,0.8237218
4.98131727,0
4.98139398,0
4.98147069,0
4.9815474,0
4.98162411,2.2056537
4.98170082,1.187198
4.98177753,1.3674055
4.98185424,0
4.98193095,0
4.98200766,1.394957
4.98208437,0
4.98216108,0
4.98223779,2.824766
4.9823145,8.605039
4.98239121,1.7705146
4.98246792,2.2771237
4.98254463,1.4848782
4.98262134,0
4.98269805,0
4.98277476,0
4.98285147,0
4.98292818,0
4.98300489,0
4.9830816,0
4.98315831,0.38360506
4.98323502,0
4.98331173,0.88929147
4.98338844,0
4.98346515,0
4.98354186,0
4.98361857,0.96743745
4.98369528,2.968624
4.98377199,5.918579
4.9838487,3.3657238
4.98392541,6.8312116
4.98400212,2.1188858
4.98407883,2.3414352
4.98415554,1.6584054
4.98423225,1.6626576
4.98430896,2.2474964
4.98438567,0
4.98446238,5.4725285
4.98453909,0
4.9846158,1.1397654
4.98469251,0
4.98476922,0
4.98484593,0
4.98492264,0
4.98499935,1.5256475
4.98507606,0
4.98515277,0
4.98522948,0
4.98530619,0
4.9853829,0
4.98545961,0
4.98553632,2.424282
4.98561303,0
4.98568974,0
4.98576645,0
4.98584316,0
4.98591987,0
4.98599658,0
4.98607329,0
4.98615,0
4.98622671,0
4.98630342,0
4.98638013,0
4.98645684,0
4.98653355,0
4.98661026,0
4.98668697,0
4.98676368,0
4.98684039,1.6180556
4.9869171,0
4.98699381,0
4.98707052,0
4.98714723,6.777652
4.98722394,20.924936
4.98730065,17.505955
4.98737736,24.757977
4.98745407,19.964657
4.98753078,12.373071
4.98760749,12.4661665
4.9876842,11.819352
4.98776091,0.8882012
4.98783762,0.96470326
4.98791433,0
4.98799104,0
4.98806775,0
4.98814446,0
4.98822117,0
4.98829788,0
4.98837459,0
4.9884513,0
4.98852801,0
4.98860472,0
4.98868143,0
4.98875814,1.2311963
4.98883485,0
4.98891156,2.6403105
4.98898827,0
4.98906498,2.4465916
4.98914169,1.5663161
4.9892184,1.1601751
4.98929511,1.3339665
4.98937182,0
4.98944853,0
4.98952524,0
4.98960195,0
4.98967866,0
4.98975537,0
4.98983208,0
4.98990879,0
4.9899855,0
4.99006221,0
4.99013892,0
4.99021563,0
4.99029234,0
4.99036905,0
4.99044576,0
4.99052247,0
4.99059918,0
4.99067589,0
4.9907526,0
4.99082931,0.86785007
4.99090602,2.3572195
4.99098273,0
4.99105944,1.4381542
4.99113615,0
4.99121286,0
4.99128957,0
4.99136628,0
4.99144299,0
4.9915197,0
4.99159641,0
4.99167312,0
4.99174983,0
4.99182654,0
4.99190325,0
4.99197996,0
4.99205667,0
4.99213338,1.6149565
4.99221009,0
4.9922868,0
4.99236351,0
4.99244022,0
4.99251693,0
4.99259364,0.8571692
4.99267035,0
4.99274706,0
4.99282377,2.006173
4.99290048,0
4.99297719,0
4.9930539,1.4161761
4.99313061,0
4.99320732,0
4.99328403,0
4.99336074,0
4.99343745,0
4.99351416,0.8596266
4.99359087,0
4.99366758,0
4.99374429,0
4.993821,0
4.99389771,0
4.99397442,0
4.99405113,0
4.99412784,0
4.99420455,0
4.99428126,0
4.99435797,0
4.99443468,0
4.99451139,0
4.9945881,0
4.99466481,1.8146974
4.99474152,0
4.99481823,0
4.99489494,0
4.99497165,0
4.99504836,0
4.99512507,0
4.99520178,0
4.99527849,1.307669
4.9953552,0.57564247
4.99543191,0
4.99550862,0
4.99558533,0
4.99566204,0
4.99573875,0
4.99581546,0
4.99589217,0
4.99596888,0
4.99604559,0
4.9961223,0.91059446
4.99619901,0
4.99627572,1.2814974
4.99635243,0
4.99642914,0
4.99650585,0
4.99658256,0
4.99665927,0
4.99673598,0
4.99681269,0
4.9968894,0
4.99696611,0.8957453
4.99704282,0
4.99711953,0
4.99719624,0
4.99727295,0
4.99734966,0
4.99742637,0
4.99750308,0
4.99757979,0
4.9976565,0
4.99773321,5.562433
4.99780992,9.065163
4.99788663,13.235407
4.99796334,7.760404
4.99804005,10.916658
4.99811676,13.494423
4.99819347,4.8967557
4.99827018,5.4611764
4.99834689,2.194151
4.9984236,0
4.99850031,0
4.99857702,0
4.99865373,0
4.99873044,0
4.99880715,0
4.99888386,0
4.99896057,1.1222072
4.99903728,0
4.99911399,0
4.9991907,0
4.99926741,0
4.99934412,0
4.99942083,0
4.99949754,0
4.99957425,0.6224923
4.99965096,3.7009068
4.99972767,4.4046063
4.99980438,3.3157248
4.99988109,2.139996
4.9999578,0
5.00003451,0
5.00011122,0
5.00018793,0
5.00026464,0
5.00034135,0.7046514
5.00041806,0
5.00049477,0
5.00057148,0
5.00064819,0
5.0007249,0
5.00080161,0
5.00087832,0
5.00095503,0
5.00103174,0
5.00110845,0
5.00118516,0.5171934
5.00126187,0
5.00133858,0
5.00141529,0
5.001492,0
5.00156871,0
5.00164542,0
5.00172213,0
5.00179884,0
5.00187555,0
5.00195226,0
5.00202897,1.0127314
5.00210568,0.78386253
5.00218239,0
5.0022591,1.3883395
5.00233581,0
5.00241252,0
5.00248923,0
5.00256594,0
5.00264265,0
5.00271936,0
5.00279607,0
5.00287278,0
5.00294949,0
5.0030262,0
5.00310291,0
5.00317962,0
5.00325633,1.0831279
5.00333304,1.0555136
5.00340975,0
5.00348646,0
5.00356317,1.6258471
5.00363988,0
5.00371659,0
5.0037933,0
5.00387001,0
5.00394672,0
5.00402343,0
5.00410014,0
5.00417685,0
5.00425356,0
5.00433027,0
5.00440698,0.9759964
5.00448369,0
5.0045604,0
5.00463711,0
5.00471382,0
5.00479053,0
5.00486724,0
5.00494395,0
5.00502066,0
5.00509737,0.9700877
5.00517408,0
5.00525079,0
5.0053275,0
5.00540421,0
5.00548092,0
5.00555763,0.73646754
5.00563434,0
5.00571105,0
5.00578776,2.2305086
5.00586447,0
5.00594118,0
5.00601789,0
5.0060946,0
5.00617131,0
5.00624802,0
5.00632473,0
5.00640144,2.2461965
5.00647815,0
5.00655486,0
5.00663157,1.1475317
5.00670828,0
5.00678499,0
5.0068617,0
5.00693841,0
5.00701512,0
5.00709183,0
5.00716854,0
5.00724525,0
5.00732196,1.6679918
5.00739867,1.7552335
5.00747538,0
5.00755209,0
5.0076288,0
5.00770551,1.9299895
5.00778222,0
5.00785893,0
5.00793564,0
5.00801235,0
5.00808906,0
5.00816577,0
5.00824248,0
5.00831919,0
5.0083959,0
5.00847261,0
5.00854932,0
5.00862603,0
5.00870274,0
5.00877945,0
5.00885616,1.101399
5.00893287,0
5.00900958,0
5.00908629,0
5.009163,0
5.00923971,1.3484426
5.00931642,0.839372
5.00939313,0
5.00946984,1.7062073
5.00954655,0
5.00962326,0
5.00969997,0
5.00977668,2.5833752
5.00985339,0
5.0099301,1.2170138
5.01000681,3.1854787
5.01008352,0
5.01016023,0
5.01023694,1.4416013
5.01031365,1.7226751
5.01039036,0.7054482
5.01046707,3.1496034
5.01054378,1.2639728
5.01062049,1.0121948
5.0106972,0
5.01077391,0
5.01085062,0
5.01092733,0
5.01100404,0
5.01108075,0
5.01115746,0
5.01123417,0
5.01131088,1.0146731
5.01138759,1.7528516
5.0114643,3.0703208
5.01154101,0
5.01161772,0
5.01169443,0
5.01177114,0
5.01184785,0
5.01192456,0
5.01200127,0
5.01207798,0
5.01215469,0
5.0122314,0
5.01230811,0
5.01238482,0
5.01246153,0
5.01253824,0
5.01261495,0
5.01269166,0
5.01276837,2.3801916
5.01284508,2.6730702
5.01292179,0.62528515
5.0129985,3.2508554
5.01307521,2.2612553
5.01315192,1.5444638
5.01322863,1.6995564
5.01330534,0
5.01338205,1.2182593
5.01345876,0
5.01353547,0
5.01361218,0
5.01368889,0
5.0137656,0
5.01384231,0
5.01391902,0
5.01399573,1.1679792
5.01407244,0
5.01414915,0
5.01422586,2.114793
5.01430257,0
5.01437928,1.5587007
5.01445599,0
5.0145327,0
5.01460941,0
5.01468612,2.1112075
5.01476283,0
5.01483954,1.7441081
5.01491625,0
5.01499296,0
5.01506967,0
5.01514638,0
5.01522309,0
5.0152998,1.1306906
5.01537651,0
5.01545322,0
5.01552993,0
5.01560664,0
5.01568335,0
5.01576006,0
5.01583677,0
5.01591348,0
5.01599019,0
5.0160669,0
5.01614361,0
5.01622032,0
5.01629703,0
5.01637374,0
5.01645045,0
5.01652716,0
5.01660387,0
5.01668058,0
5.01675729,0
5.016834,0
5.01691071,0
5.01698742,0
5.01706413,1.3238896
5.01714084,2.55808
5.01721755,7.1851015
5.01729426,3.7101367
5.01737097,2.0177596
5.01744768,0
5.01752439,1.1224169
5.0176011,0.56910056
5.01767781,0
5.01775452,0
5.01783123,0.8783842
5.01790794,0
5.01798465,0
5.01806136,0
5.01813807,0
5.01821478,0
5.01829149,2.5965345
5.0183682,0
5.01844491,0
5.01852162,0.5082654
5.01859833,0
5.01867504,1.4605308
5.01875175,0
5.01882846,0
5.01890517,0
5.01898188,0
5.01905859,0
5.0191353,0
5.01921201,0
5.01928872,0
5.01936543,0
5.01944214,0
5.01951885,0
5.01959556,0
5.01967227,0
5.01974898,0
5.01982569,0.68248874
5.0199024,0
5.01997911,2.3125
5.02005582,2.7732992
5.02013253,0
5.02020924,0
5.02028595,4.186175
5.02036266,0
5.02043937,0
5.02051608,0
5.02059279,0.6054037
5.0206695,0
5.02074621,1.8319914
5.02082292,0
5.02089963,0.7523903
5.02097634,0
5.02105305,0
5.02112976,4.317784
5.02120647,3.660108
5.02128318,1.321495
5.02135989,0
5.0214366,0.57847726
5.02151331,0
5.02159002,0
5.02166673,0
5.02174344,0
5.02182015,0
5.02189686,0.7482723
5.02197357,0
5.02205028,0
5.02212699,0
5.0222037,0
5.02228041,0
5.02235712,0
5.02243383,0
5.02251054,1.1186762
5.02258725,0
5.02266396,0
5.02274067,0
5.02281738,0
5.02289409,0
5.0229708,0
5.02304751,0
5.02312422,0
5.02320093,0
5.02327764,0
5.02335435,0
5.02343106,0
5.02350777,0
5.02358448,0
5.02366119,0
5.0237379,0
5.02381461,0
5.02389132,0
5.02396803,0
5.02404474,0
5.02412145,0
5.02419816,0
5.02427487,6.7286844
5.02435158,0
5.02442829,2.964657
5.024505,0
5.02458171,4.3801327
5.02465842,1.7691056
5.02473513,0
5.02481184,0
5.02488855,0.8311275
5.02496526,0
5.02504197,0
5.02511868,5.464066
5.02519539,2.0564446
5.0252721,3.5110373
5.02534881,5.2194543
5.02542552,1.3366882
5.02550223,1.2706823
5.02557894,1.6820819
5.02565565,2.6862419
5.02573236,6.5061016
5.02580907,2.3608763
5.02588578,1.6428434
5.02596249,0
5.0260392,0
5.02611591,0
5.02619262,0
5.02626933,0
5.02634604,1.5901352
5.02642275,2.932057
5.02649946,0
5.02657617,1.7030957
5.02665288,0
5.02672959,2.6587327
5.0268063,2.173326
5.02688301,2.0489256
5.02695972,0.95772946
5.02703643,3.502579
5.02711314,1.25156
5.02718985,4.265365
5.02726656,2.3194277
5.02734327,2.9058266
5.02741998,0
5.02749669,0
5.0275734,1.9982387
5.02765011,0
5.02772682,0
5.02780353,1.4581823
5.02788024,0
5.02795695,2.153256
5.02803366,0
5.02811037,3.29534
5.02818708,0
5.02826379,0
5.0283405,0.64421886
5.02841721,0
5.02849392,1.2441837
5.02857063,0
5.02864734,0
5.02872405,0
5.02880076,0
5.02887747,0
5.02895418,0
5.02903089,0
5.0291076,0
5.02918431,0.9816534
5.02926102,0
5.02933773,0
5.02941444,0
5.02949115,0
5.02956786,0
5.02964457,1.9212459
5.02972128,0
5.02979799,6.2665854
5.0298747,24.705826
5.02995141,64.91641
5.03002812,83.346016
5.03010483,64.90096
5.03018154,48.175648
5.03025825,30.67941
5.03033496,16.158632
